path,toolid,TP,FP,FN,TN,total_rows
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree2,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree2,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree2,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree2,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree2,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree2,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree2,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree3,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree3,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree3,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree3,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree3,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree3,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\mod\CrossMutexMod_ree3,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree2,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree2,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree2,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree2,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree2,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree2,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree2,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree3,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree3,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree3,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree3,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree3,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree3,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-function\guard\mutex\no-mod\CrossMutex_ree3,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\baseline\Call_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\baseline\Call_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\baseline\Call_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\baseline\Call_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\baseline\Call_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\baseline\Call_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\baseline\Call_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree2,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree2,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree2,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree2,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree2,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree2,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree2,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree3,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree3,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree3,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree3,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree3,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree3,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\folded\CallFolded_ree3,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\gas\CallGas_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\gas\CallGas_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\single-function\low-level-call\to-sender\gas\CallGas_ree1,mythril-0.24.7,0,0,1,0,1
